year,tournament_id,tier,champion_name,champion_ids,champion_real_count,champion_ovr_avg,classification,main_draw_size,simulated_entrants,incomplete
2026,tournament-2026-lax-sil-w06-1,Silver,"Diego Ortiz & Javier Ramos",athleteprofile-1767225994439-zlzatm|athleteprofile-1767225986439-6zhxkx,0,89.5,100%_bots,16,3,true
2026,tournament-2026-mad-gol-w08-1,Gold,"Diego Ortiz & Javier Ramos",athleteprofile-1767225994439-zlzatm|athleteprofile-1767225986439-6zhxkx,0,89.5,100%_bots,32,3,true
2026,tournament-2026-riy-sil-w10-1,Silver,"Álvaro Costa & Santiago Alonso",athleteprofile-1767225977439-9oyuam|athleteprofile-1767225976439-ja35ww,0,91.5,100%_bots,16,8,true
2026,tournament-2026-cun-pla-w10-2,Platinum,"Agustín Tapia & Arturo Coello",athleteprofile-1767225672439-plnw39|athleteprofile-1767225665439-5zbure,2,96.5,100%_reais,32,2,true
2026,tournament-2026-ist-mas-w12-1,Masters,"Diego Ortiz & Javier Ramos",athleteprofile-1767225994439-zlzatm|athleteprofile-1767225986439-6zhxkx,0,89.5,100%_bots,64,2,true
2026,tournament-2026-cai-gol-w14-1,Gold,"Agustín Tapia & Arturo Coello",athleteprofile-1767225672439-plnw39|athleteprofile-1767225665439-5zbure,2,97,100%_reais,32,16,true
2026,tournament-2026-sto-sil-w16-1,Silver,"Agustín Tapia & Arturo Coello",athleteprofile-1767225672439-plnw39|athleteprofile-1767225665439-5zbure,2,97,100%_reais,16,18,false
2026,tournament-2026-tok-eli-w16-2,Elite,"Agustín Tapia & Arturo Coello",athleteprofile-1767225672439-plnw39|athleteprofile-1767225665439-5zbure,2,97,100%_reais,64,2,true
2026,tournament-2026-cor-cro-w18-1,Crown,"Agustín Tapia & Arturo Coello",athleteprofile-1767225672439-plnw39|athleteprofile-1767225665439-5zbure,2,97,100%_reais,64,2,true
2026,tournament-2026-san-pla-w20-1,Platinum,"Alejandro Galán & Federico Chingotto",athleteprofile-1767225682439-zm5u19|athleteprofile-1767225689439-tjm2v6,2,93.5,100%_reais,32,2,true
2026,tournament-2026-sto-gol-w22-1,Gold,"Agustín Tapia & Arturo Coello",athleteprofile-1767225672439-plnw39|athleteprofile-1767225665439-5zbure,2,97,100%_reais,32,31,true
2026,tournament-2026-cph-mas-w22-2,Masters,"Agustín Tapia & Arturo Coello",athleteprofile-1767225672439-plnw39|athleteprofile-1767225665439-5zbure,2,97,100%_reais,64,2,true
