year,tournament_id,tier,champion_name,champion_ids,champion_real_count,champion_ovr_avg,classification,main_draw_size,simulated_entrants,incomplete
2026,tournament-2026-par-pla-w04-1,Platinum,"Ignacio Vilariño Gestoso & Mario Del Castillo",real_ignacio_vilarino_gestoso|real_mario_del_castillo,2,80.5,100%_reais,32,26,true
2026,tournament-2026-rom-mas-w04-2,Masters,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,96,100%_reais,24,24,false
2026,tournament-2026-lis-bro-w03-1,Bronze,"Álvaro Herrera & Pablo Herrera",athleteprofile-1767226924534-lxbt3m|athleteprofile-1767227047534-dp7wns,0,78,100%_bots,16,16,false
2026,tournament-2026-nyc-mas-w03-2,Masters,"Mariano Agustín González San Martín & Flavio Abbate",real_mariano_agustin_gonzalez_san_martin|real_flavio_abbate,2,80.5,100%_reais,24,24,false
2026,tournament-2026-mad-eli-w03-3,Elite,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,96,100%_reais,20,20,false
2026,tournament-2026-mia-sil-w02-1,Silver,"Pablo López & Mateo Iglesias",athleteprofile-1767226897534-rwl3x0|athleteprofile-1767227005534-46otw8,0,79.5,100%_bots,16,16,false
2026,tournament-2026-seo-gol-w02-2,Gold,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,93.5,100%_reais,24,24,false
2026,tournament-2026-bcn-bro-w01-1,Bronze,"Samuel Martínez & Javier Iglesias",athleteprofile-1767227168534-7mkf6g|athleteprofile-1767227306534-9w2f21,0,63.5,100%_bots,16,16,false
2026,tournament-2026-pra-mas-w01-3,Masters,"Javier Martínez & Manuel Castaño Salguero",real_javier_martinez|real_manuel_castano_salguero,2,80,100%_reais,24,23,true
2026,tournament-2026-doh-mas-w01-4,Masters,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,93.5,100%_reais,24,24,false
2026,tournament-2026-lon-bro-w05-1,Bronze,"Daniel Méndez & Adrián Castro 563",athleteprofile-1767227351534-uiudne|athleteprofile-1767227336534-ipuefq,0,58.5,100%_bots,16,16,false
