year,tournament_id,tier,champion_name,champion_ids,champion_real_count,champion_ovr_avg,classification,main_draw_size,simulated_entrants,incomplete
2026,tournament-2026-lis-bro-w03-1,Bronze,"Mateo Molina & Diego Castro",athleteprofile-1767226986915-x3j50n|athleteprofile-1767226924915-11bsx7,0,81,100%_bots,16,16,false
2026,tournament-2026-rom-eli-w03-2,Elite,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,93.5,100%_reais,20,20,false
2026,tournament-2026-mia-sil-w02-1,Silver,"Mateo Molina & Diego Castro",athleteprofile-1767226986915-x3j50n|athleteprofile-1767226924915-11bsx7,0,81,100%_bots,16,16,false
2026,tournament-2026-seo-gol-w02-2,Gold,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,93.5,100%_reais,24,24,false
2026,tournament-2026-bcn-bro-w01-1,Bronze,"Mateo Acosta 250 & Enzo Torres",athleteprofile-1767227045915-hfqo6m|athleteprofile-1767227043915-qdlkzz,0,75.5,100%_bots,16,16,false
2026,tournament-2026-par-mas-w01-2,Masters,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,93.5,100%_reais,24,24,false
2026,tournament-2026-lon-bro-w05-1,Bronze,"Pedro Molina & Franco Miranda",athleteprofile-1767227294915-uao5f4|athleteprofile-1767227211915-5evk0h,0,63.5,100%_bots,16,16,false
2026,tournament-2026-cph-sil-w05-2,Silver,"Mateo Molina & Diego Castro",athleteprofile-1767226986915-x3j50n|athleteprofile-1767226924915-11bsx7,0,81,100%_bots,16,16,false
2026,tournament-2026-rio-mas-w05-3,Masters,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,93.5,100%_reais,24,24,false
2026,tournament-2026-bog-pla-w06-1,Platinum,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,93.5,100%_reais,32,29,true
2026,tournament-2026-pra-cro-w06-2,Crown,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,93.5,100%_reais,20,20,false
2026,tournament-2026-dub-bro-w07-1,Bronze,"Mateo Acosta 250 & Enzo Torres",athleteprofile-1767227045915-hfqo6m|athleteprofile-1767227043915-qdlkzz,0,75.5,100%_bots,16,16,false
2026,tournament-2026-bcn-sil-w08-1,Silver,"Mateo Acosta 250 & Enzo Torres",athleteprofile-1767227045915-hfqo6m|athleteprofile-1767227043915-qdlkzz,0,75.5,100%_bots,16,16,false
2026,tournament-2026-doh-gol-w08-2,Gold,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,96,100%_reais,24,23,true
2026,tournament-2026-lim-eli-w08-3,Elite,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,93.5,100%_reais,20,20,false
2026,tournament-2026-riy-bro-w09-1,Bronze,"João Silva & Marco Ferrer",athleteprofile-1767226955915-szhxro|athleteprofile-1767226908915-hwgysa,0,82.5,100%_bots,16,16,false
2026,tournament-2026-nai-mas-w10-1,Masters,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,96,100%_reais,24,24,false
2026,tournament-2026-bkk-bro-w11-1,Bronze,"Bruno Medina & Nicolás Navarro",athleteprofile-1767227050915-3na6rk|athleteprofile-1767227059915-15qy1n,0,74.5,100%_bots,16,16,false
2026,tournament-2026-sha-sil-w11-2,Silver,"Emiliano Medina & Tomás Miranda",athleteprofile-1767226993915-rsxjdl|athleteprofile-1767227020915-9x290a,0,77.5,100%_bots,16,16,false
2026,tournament-2026-akl-bro-w13-1,Bronze,"Thiago Ortiz & Franco Castro",athleteprofile-1767227028915-tc4ta4|athleteprofile-1767226963915-9dgbi5,0,78,100%_bots,16,16,false
2026,tournament-2026-mil-eli-w13-2,Elite,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,94,100%_reais,20,20,false
2026,tournament-2026-cun-sil-w14-1,Silver,"Pablo Vega & Adrián Ferrer",athleteprofile-1767226948915-kv8q4c|athleteprofile-1767226989915-wsm0dp,0,79.5,100%_bots,16,16,false
2026,tournament-2026-ist-gol-w14-2,Gold,"Pablo Lijó & Javier Ruiz",real_pablo_lijo|real_javier_ruiz,2,82,100%_reais,24,24,false
2026,tournament-2026-sin-mas-w14-4,Masters,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,96,100%_reais,24,24,false
2026,tournament-2026-mia-pla-w14-3,Platinum,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,94,100%_reais,32,32,false
2026,tournament-2026-lon-bro-w15-1,Bronze,"Thiago Ortiz & Franco Castro",athleteprofile-1767227028915-tc4ta4|athleteprofile-1767226963915-9dgbi5,0,78,100%_bots,16,16,false
2026,tournament-2026-nyc-bro-w17-1,Bronze,"Bruno Medina & Nicolás Navarro",athleteprofile-1767227050915-3na6rk|athleteprofile-1767227059915-15qy1n,0,74.5,100%_bots,16,16,false
2026,tournament-2026-cas-sil-w17-2,Silver,"Ignacio Santos & André Giménez",athleteprofile-1767226964915-1622oy|athleteprofile-1767226954915-qpgzce,0,80,100%_bots,16,16,false
2026,tournament-2026-mex-eli-w17-3,Elite,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,96,100%_reais,20,20,false
2026,tournament-2026-cor-cro-w18-1,Crown,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,96,100%_reais,20,20,false
2026,tournament-2026-akl-bro-w19-1,Bronze,"Ignacio Santos & André Giménez",athleteprofile-1767226964915-1622oy|athleteprofile-1767226954915-qpgzce,0,80,100%_bots,16,16,false
2026,tournament-2026-bog-mas-w19-2,Masters,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,94,100%_reais,24,24,false
2026,tournament-2026-mon-sil-w20-1,Silver,"Daniel Navarro & Enzo Herrera",athleteprofile-1767226907915-yiq30o|athleteprofile-1767226999915-xpiicm,0,81.5,100%_bots,16,16,false
