year,tournament_id,tier,champion_name,champion_ids,champion_real_count,champion_ovr_avg,classification,main_draw_size,simulated_entrants,incomplete
2026,tournament-2026-par-pla-w04-1,Platinum,"Samuel Fernández & Pablo Ramos",athleteprofile-1767226946153-ebzef3|athleteprofile-1767226989153-ukg08z,0,77,100%_bots,32,26,true
2026,tournament-2026-rom-mas-w04-2,Masters,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,96,100%_reais,24,24,false
2026,tournament-2026-lis-bro-w03-1,Bronze,"Samuel Fernández & Pablo Ramos",athleteprofile-1767226946153-ebzef3|athleteprofile-1767226989153-ukg08z,0,77,100%_bots,16,16,false
2026,tournament-2026-nyc-mas-w03-2,Masters,"Mariano Agustín González San Martín & Flavio Abbate",real_mariano_agustin_gonzalez_san_martin|real_flavio_abbate,2,80.5,100%_reais,24,24,false
2026,tournament-2026-mad-eli-w03-3,Elite,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,96,100%_reais,20,20,false
2026,tournament-2026-mia-sil-w02-1,Silver,"Diego Castro & Javier Silva",athleteprofile-1767226880153-b5x75l|athleteprofile-1767227005153-jj3e9n,0,79.5,100%_bots,16,16,false
2026,tournament-2026-seo-gol-w02-2,Gold,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,93.5,100%_reais,24,24,false
2026,tournament-2026-bcn-bro-w01-1,Bronze,"Thiago Romero & Santiago Navarro",athleteprofile-1767227309153-nq8cig|athleteprofile-1767227182153-r7vzu7,0,62,100%_bots,16,16,false
2026,tournament-2026-rio-gol-w01-2,Gold,"Martín Giménez & Adrián Ortiz",athleteprofile-1767227016153-5qy0n5|athleteprofile-1767227166153-192lx4,0,70.5,100%_bots,24,12,true
2026,tournament-2026-pra-mas-w01-3,Masters,"Javier Martínez & Manuel Castaño Salguero",real_javier_martinez|real_manuel_castano_salguero,2,80,100%_reais,24,21,true
2026,tournament-2026-doh-mas-w01-4,Masters,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,93.5,100%_reais,24,24,false
2026,tournament-2026-lon-bro-w05-1,Bronze,"Diego Alonso & Bruno Cabrera",athleteprofile-1767227175153-qqvypm|athleteprofile-1767227260153-mtdzj0,0,63,100%_bots,16,16,false
2026,tournament-2026-cph-sil-w05-2,Silver,"Lucas Ferrer & Javier Miranda",athleteprofile-1767227121153-07xw4w|athleteprofile-1767226960153-sbc3ir,0,72.5,100%_bots,16,16,false
2026,tournament-2026-cpt-gol-w05-3,Gold,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,96,100%_reais,24,24,false
2026,tournament-2026-bcn-mas-w06-1,Masters,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,93.5,100%_reais,24,24,false
2026,tournament-2026-pra-cro-w06-2,Crown,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,93.5,100%_reais,20,20,false
2026,tournament-2026-dub-bro-w07-1,Bronze,"Diego Castro & Javier Silva",athleteprofile-1767226880153-b5x75l|athleteprofile-1767227005153-jj3e9n,0,79.5,100%_bots,16,16,false
2026,tournament-2026-osa-gol-w07-2,Gold,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,96,100%_reais,24,24,false
2026,tournament-2026-cai-pla-w07-3,Platinum,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,96,100%_reais,32,27,true
