year,tournament_id,tier,champion_name,champion_ids,champion_real_count,champion_ovr_avg,classification,main_draw_size,simulated_entrants,incomplete
2026,tournament-2026-san-gol-w04-1,Gold,"Javier Martínez & Manuel Castaño Salguero",real_javier_martinez|real_manuel_castano_salguero,2,80,100%_reais,24,24,false
2026,tournament-2026-par-mas-w04-2,Masters,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,96,100%_reais,24,24,false
2026,tournament-2026-mad-bro-w03-1,Bronze,"Bruno Ferrer 477 & Martín Molina",athleteprofile-1767227272915-eeayj0|athleteprofile-1767227170915-vho7dn,0,66,100%_bots,16,16,false
2026,tournament-2026-bog-pla-w03-2,Platinum,"Rafael Santos & Franco Costa",athleteprofile-1767227022915-cv7rrg|athleteprofile-1767227024915-b272ve,0,76,100%_bots,32,19,true
2026,tournament-2026-syd-mas-w03-3,Masters,"Francisco Cabeza Teres & Alonso Rodríguez Martínez",real_francisco_cabeza_teres|real_alonso_rodriguez_martinez,2,81,100%_reais,24,23,true
2026,tournament-2026-rom-cro-w03-4,Crown,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,96,100%_reais,20,20,false
2026,tournament-2026-mia-sil-w02-1,Silver,"Carlos Giménez & Ignacio Ferrer",athleteprofile-1767227183915-r70wvj|athleteprofile-1767227307915-4dq5c1,0,64.5,100%_bots,16,16,false
2026,tournament-2026-seo-gol-w02-2,Gold,"Martín Abud & Antón Sans",real_martin_abud|real_anton_sans,2,78,100%_reais,24,23,true
2026,tournament-2026-cph-mas-w02-3,Masters,"Enzo Jensen Sirvent & Luis Hernández Quesada",real_enzo_jensen_sirvent|real_luis_hernandez_quesada,2,81,100%_reais,24,24,false
2026,tournament-2026-cas-eli-w02-4,Elite,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,96,100%_reais,20,20,false
2026,tournament-2026-bcn-bro-w01-1,Bronze,"Rubén Romero & Pedro López",athleteprofile-1767226988915-dvil7g|athleteprofile-1767227589915-a3ndzq,0,63.5,100%_bots,16,16,false
2026,tournament-2026-rio-gol-w01-2,Gold,"Rafael López 364 & Rubén Santos",athleteprofile-1767227159915-i51njq|athleteprofile-1767227119915-u7fta8,0,70,100%_bots,24,23,true
2026,tournament-2026-doh-mas-w01-4,Masters,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,93.5,100%_reais,24,24,false
2026,tournament-2026-sha-mas-w01-5,Masters,"Emiliano Medina & Tomás Miranda",athleteprofile-1767226993915-rsxjdl|athleteprofile-1767227020915-9x290a,0,77.5,100%_bots,24,10,true
2026,tournament-2026-lis-mas-w01-6,Masters,"Aris Patiniotis & Diego García García",real_aris_patiniotis|real_diego_garcia_garcia,2,79,100%_reais,24,14,true
2026,tournament-2026-lon-bro-w05-1,Bronze,"Rubén Giménez & Martín Navarro",athleteprofile-1767227097915-tb7azt|athleteprofile-1767227381915-sdl3u0,0,64.5,100%_bots,16,16,false
2026,tournament-2026-ber-sil-w05-2,Silver,"Mateo Acosta 250 & Enzo Torres",athleteprofile-1767227045915-hfqo6m|athleteprofile-1767227043915-qdlkzz,0,75.5,100%_bots,16,16,false
2026,tournament-2026-cpt-gol-w05-3,Gold,"José Antonio Diestro & Ignacio Piotto Albornoz",real_jose_antonio_diestro|real_ignacio_piotto_albornoz,2,81,100%_reais,24,24,false
2026,tournament-2026-nyc-mas-w05-5,Masters,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,93.5,100%_reais,24,23,true
2026,tournament-2026-mil-pla-w05-4,Platinum,"Francisco Cabeza Teres & Alonso Rodríguez Martínez",real_francisco_cabeza_teres|real_alonso_rodriguez_martinez,2,81,100%_reais,32,32,false
2026,tournament-2026-mel-eli-w05-6,Elite,"Arturo Coello & Agustín Tapia",real_arturo_coello|real_agustin_tapia,2,96,100%_reais,20,19,true
2026,tournament-2026-sha-gol-w06-1,Gold,"Aris Patiniotis & Diego García García",real_aris_patiniotis|real_diego_garcia_garcia,2,79,100%_reais,24,24,false
