year,tournament_id,tier,champion_name,champion_ids,champion_real_count,champion_ovr_avg,classification,main_draw_size,simulated_entrants,incomplete
2026,tournament-2026-lis-bro-w03-1,Bronze,"Carlos Vega & Pablo Herrera",athleteprofile-1767226939915-4nim4c|athleteprofile-1767227069915-7czior,0,78.5,100%_bots,16,16,false
2026,tournament-2026-rom-eli-w03-2,Elite,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,93.5,100%_reais,20,20,false
2026,tournament-2026-mia-sil-w02-1,Silver,"Emiliano Medina & Franco Castro",athleteprofile-1767226993915-rsxjdl|athleteprofile-1767226963915-9dgbi5,0,82.5,100%_bots,16,16,false
2026,tournament-2026-seo-gol-w02-2,Gold,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,93.5,100%_reais,24,24,false
2026,tournament-2026-bcn-bro-w01-1,Bronze,"Emiliano Medina & Franco Castro",athleteprofile-1767226993915-rsxjdl|athleteprofile-1767226963915-9dgbi5,0,82.5,100%_bots,16,16,false
2026,tournament-2026-par-mas-w01-2,Masters,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,93.5,100%_reais,24,24,false
2026,tournament-2026-lon-bro-w05-1,Bronze,"João Torres & Enzo Santos",athleteprofile-1767227476915-766f0s|athleteprofile-1767227140915-xeeooa,0,71.5,100%_bots,16,16,false
2026,tournament-2026-cph-sil-w05-2,Silver,"Rafael Santos & Franco Costa",athleteprofile-1767227022915-cv7rrg|athleteprofile-1767227024915-b272ve,0,76,100%_bots,16,16,false
2026,tournament-2026-rio-mas-w05-3,Masters,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,93.5,100%_reais,24,24,false
2026,tournament-2026-bog-pla-w06-1,Platinum,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,93.5,100%_reais,32,32,false
2026,tournament-2026-pra-cro-w06-2,Crown,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,93.5,100%_reais,20,20,false
2026,tournament-2026-dub-bro-w07-1,Bronze,"Pablo Rojas & Javier Fernández 340",athleteprofile-1767226943915-02qiim|athleteprofile-1767227135915-ms0lmp,0,75.5,100%_bots,16,16,false
