year,tournament_id,tier,champion_name,champion_ids,champion_real_count,champion_ovr_avg,classification,main_draw_size,simulated_entrants,incomplete
2026,tournament-2026-lis-bro-w03-1,Bronze,"Carlos Vega & Gonzalo Cabrera",athleteprofile-1767226939915-4nim4c|athleteprofile-1767227083915-xmgv2m,0,77.5,100%_bots,16,16,false
2026,tournament-2026-rom-eli-w03-2,Elite,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,93.5,100%_reais,20,20,false
2026,tournament-2026-mia-sil-w02-1,Silver,"Rubén Giménez & Bruno Miranda",athleteprofile-1767227097915-tb7azt|athleteprofile-1767227068915-7f5k7q,0,73.5,100%_bots,16,16,false
2026,tournament-2026-seo-gol-w02-2,Gold,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,93.5,100%_reais,24,24,false
2026,tournament-2026-bcn-bro-w01-1,Bronze,"Mateo Acosta 250 & Enzo Torres",athleteprofile-1767227045915-hfqo6m|athleteprofile-1767227043915-qdlkzz,0,75.5,100%_bots,16,16,false
2026,tournament-2026-par-mas-w01-2,Masters,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,93.5,100%_reais,24,24,false
2026,tournament-2026-lon-bro-w05-1,Bronze,"Thiago Miranda & Rafael Vega",athleteprofile-1767227171915-pm1vug|athleteprofile-1767227071915-32pk42,0,70.5,100%_bots,16,16,false
2026,tournament-2026-cph-sil-w05-2,Silver,"Rafael Santos & Franco Costa",athleteprofile-1767227022915-cv7rrg|athleteprofile-1767227024915-b272ve,0,76,100%_bots,16,16,false
2026,tournament-2026-rio-mas-w05-3,Masters,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,93.5,100%_reais,24,24,false
2026,tournament-2026-bog-pla-w06-1,Platinum,"Alejandro Galán & Federico Chingotto",real_alejandro_galan|real_federico_chingotto,2,93.5,100%_reais,32,31,true
