year,tournament_id,tier,champion_name,champion_ids,champion_real_count,champion_ovr_avg,classification,main_draw_size,simulated_entrants,incomplete
2026,tournament-2026-lax-sil-w06-1,Silver,"Javier Pereira & Nicolás Fernández 338",athleteprofile-1767226239264-tbher0|athleteprofile-1767226255264-6bmnch,0,70.5,100%_bots,16,3,true
2026,tournament-2026-mad-gol-w08-1,Gold,"Martín Martínez & Nicolás Cabrera",athleteprofile-1767226004264-uhqlg9|athleteprofile-1767226003264-kqf57d,0,86,100%_bots,32,3,true
2026,tournament-2026-riy-sil-w10-1,Silver,"Martín Martínez & Nicolás Cabrera",athleteprofile-1767226004264-uhqlg9|athleteprofile-1767226003264-kqf57d,0,86,100%_bots,16,9,true
2026,tournament-2026-cun-pla-w10-2,Platinum,"Pablo Fernández & Gonzalo Acosta",athleteprofile-1767225973264-xt37ci|athleteprofile-1767225972264-cjjn1b,0,89.5,100%_bots,32,10,true
2026,tournament-2026-ist-mas-w12-1,Masters,"Pablo Fernández & Gonzalo Acosta",athleteprofile-1767225973264-xt37ci|athleteprofile-1767225972264-cjjn1b,0,89.5,100%_bots,64,8,true
2026,tournament-2026-cai-gol-w14-1,Gold,"Bruno Silva & Pablo Ferrer",athleteprofile-1767225961264-9pilm3|athleteprofile-1767225960264-iovbv1,0,90.5,100%_bots,32,18,true
2026,tournament-2026-sto-sil-w16-1,Silver,"Javier Ramos & Gonzalo Giménez",athleteprofile-1767225962264-jkjr8r|athleteprofile-1767225954264-8zi3ol,0,90.5,100%_bots,16,22,false
2026,tournament-2026-tok-eli-w16-2,Elite,"Pablo Fernández & Gonzalo Acosta",athleteprofile-1767225973264-xt37ci|athleteprofile-1767225972264-cjjn1b,0,90,100%_bots,64,14,true
2026,tournament-2026-cor-cro-w18-1,Crown,"Bruno Silva & Pablo Ferrer",athleteprofile-1767225961264-9pilm3|athleteprofile-1767225960264-iovbv1,0,90.5,100%_bots,64,12,true
2026,tournament-2026-san-pla-w20-1,Platinum,"Bruno Silva & Pablo Ferrer",athleteprofile-1767225961264-9pilm3|athleteprofile-1767225960264-iovbv1,0,90.5,100%_bots,32,21,true
2026,tournament-2026-sto-gol-w22-1,Gold,"Nicolás García & Javier Herrera",athleteprofile-1767225988264-g5z0zg|athleteprofile-1767225989264-w38g8p,0,89,100%_bots,32,30,true
2026,tournament-2026-cph-mas-w22-2,Masters,"Pablo Fernández & Gonzalo Acosta",athleteprofile-1767225973264-xt37ci|athleteprofile-1767225972264-cjjn1b,0,90,100%_bots,64,31,true
2026,tournament-2026-ams-sil-w24-1,Silver,"Santiago Méndez & Javier Fernández",athleteprofile-1767225974264-m0ib7h|athleteprofile-1767225984264-qi2a93,0,89,100%_bots,16,32,false
2026,tournament-2026-mon-eli-w26-1,Elite,"Bruno Silva & Pablo Ferrer",athleteprofile-1767225961264-9pilm3|athleteprofile-1767225960264-iovbv1,0,91.5,100%_bots,64,23,true
2026,tournament-2026-cor-pla-w28-1,Platinum,"Bruno Silva & Pablo Ferrer",athleteprofile-1767225961264-9pilm3|athleteprofile-1767225960264-iovbv1,0,91.5,100%_bots,32,32,false
2026,tournament-2026-bkk-cro-w28-2,Crown,"Pedro Iglesias & Álvaro Costa",athleteprofile-1767225950264-6102w6|athleteprofile-1767225953264-0v7foq,0,92.5,100%_bots,64,22,true
2026,tournament-2026-seo-gol-w30-1,Gold,"Pedro Iglesias & Álvaro Costa",athleteprofile-1767225950264-6102w6|athleteprofile-1767225953264-0v7foq,0,92.5,100%_bots,32,32,false
2026,tournament-2026-mum-mas-w32-1,Masters,"Santiago Méndez & Javier Fernández",athleteprofile-1767225974264-m0ib7h|athleteprofile-1767225984264-qi2a93,0,90,100%_bots,64,32,true
2026,tournament-2026-pra-sil-w34-1,Silver,"Santiago Méndez & Javier Fernández",athleteprofile-1767225974264-m0ib7h|athleteprofile-1767225984264-qi2a93,0,90,100%_bots,16,32,false
2026,tournament-2026-sha-eli-w34-2,Elite,"Rafael Cabrera & Enzo Pereira",athleteprofile-1767225958264-qr740p|athleteprofile-1767225957264-feul72,0,89,100%_bots,64,30,true
2026,tournament-2026-cph-pla-w36-1,Platinum,"Pedro Iglesias & Álvaro Costa",athleteprofile-1767225950264-6102w6|athleteprofile-1767225953264-0v7foq,0,93.5,100%_bots,32,32,false
2026,tournament-2026-seo-gol-w38-1,Gold,"Pedro Iglesias & Álvaro Costa",athleteprofile-1767225950264-6102w6|athleteprofile-1767225953264-0v7foq,0,93.5,100%_bots,32,32,false
2026,tournament-2026-doh-mas-w38-2,Masters,"Pedro Iglesias & Álvaro Costa",athleteprofile-1767225950264-6102w6|athleteprofile-1767225953264-0v7foq,0,93.5,100%_bots,64,32,true
2026,tournament-2026-vie-cro-w40-1,Crown,"Rubén Acosta & Enzo Torres",athleteprofile-1767226007264-jkobi6|athleteprofile-1767225994264-pkm9pb,0,89.5,100%_bots,64,26,true
2026,tournament-2026-sin-sil-w42-1,Silver,"Pedro Iglesias & Álvaro Costa",athleteprofile-1767225950264-6102w6|athleteprofile-1767225953264-0v7foq,0,94,100%_bots,16,32,false
2026,tournament-2026-mel-eli-w44-1,Elite,"Arturo Coello & Agustín Tapia",athleteprofile-1767225641264-xbhf0j|athleteprofile-1767225648264-f748s9,2,96,100%_reais,64,32,true
2026,tournament-2026-sto-gol-w46-1,Gold,"Arturo Coello & Agustín Tapia",athleteprofile-1767225641264-xbhf0j|athleteprofile-1767225648264-f748s9,2,96,100%_reais,32,32,false
2026,tournament-2026-lon-pla-w46-2,Platinum,"Arturo Coello & Agustín Tapia",athleteprofile-1767225641264-xbhf0j|athleteprofile-1767225648264-f748s9,2,96,100%_reais,32,32,false
2026,tournament-2026-lax-mas-w48-1,Masters,"Pedro Iglesias & Álvaro Costa",athleteprofile-1767225950264-6102w6|athleteprofile-1767225953264-0v7foq,0,94.5,100%_bots,64,32,true
2026,tournament-2026-mil-sil-w50-1,Silver,"Arturo Coello & Agustín Tapia",athleteprofile-1767225641264-xbhf0j|athleteprofile-1767225648264-f748s9,2,96,100%_reais,16,32,false
2026,tournament-2026-mum-pla-w52-1,Platinum,"Arturo Coello & Agustín Tapia",athleteprofile-1767225641264-xbhf0j|athleteprofile-1767225648264-f748s9,2,96,100%_reais,32,32,false
