year,tournament_id,tier,champion_name,champion_ids,champion_real_count,classification
2026,tournament-2026-lax-sil-w06-1,Silver,"Felipe Costa & André Giménez",athleteprofile-1788203498566-bal9f6|athleteprofile-1788203498566-gwv0rp,0,100%_bots
2026,tournament-2026-mad-gol-w08-1,Gold,"Carlos Romero & Daniel Santos",athleteprofile-1788203498565-ugh96q|athleteprofile-1788203498565-4owenx,0,100%_bots
2026,tournament-2026-riy-sil-w10-1,Silver,"Carlos Ortiz & Ignacio Sánchez",athleteprofile-1788203498564-nie121|athleteprofile-1788203498564-9w9vc8,0,100%_bots
2026,tournament-2026-cun-pla-w10-2,Platinum,"Carlos Ortiz & Ignacio Sánchez",athleteprofile-1788203498564-nie121|athleteprofile-1788203498564-9w9vc8,0,100%_bots
2026,tournament-2026-ist-mas-w12-1,Masters,"Carlos Romero & Daniel Santos",athleteprofile-1788203498565-ugh96q|athleteprofile-1788203498565-4owenx,0,100%_bots
2026,tournament-2026-cai-gol-w14-1,Gold,"Santiago Castro & Rubén Campos",athleteprofile-1788203498564-y5cr57|athleteprofile-1788203498564-7d2k34,0,100%_bots
2026,tournament-2026-sto-sil-w16-1,Silver,"Carlos Ortiz & Ignacio Sánchez",athleteprofile-1788203498564-nie121|athleteprofile-1788203498564-9w9vc8,0,100%_bots
2026,tournament-2026-tok-eli-w16-2,Elite,"Santiago Castro & Rubén Campos",athleteprofile-1788203498564-y5cr57|athleteprofile-1788203498564-7d2k34,0,100%_bots
2026,tournament-2026-cor-cro-w18-1,Crown,"Adrián Torres & Javier Herrera",athleteprofile-1788203498564-vxfgrz|athleteprofile-1788203498564-3kkm1a,0,100%_bots
2026,tournament-2026-san-pla-w20-1,Platinum,"Santiago Navarro & Javier Ramos",athleteprofile-1788203498563-6ah3lt|athleteprofile-1788203498563-n9cikz,0,100%_bots
2026,tournament-2026-sto-gol-w22-1,Gold,"Santiago Navarro & Javier Ramos",athleteprofile-1788203498563-6ah3lt|athleteprofile-1788203498563-n9cikz,0,100%_bots
2026,tournament-2026-cph-mas-w22-2,Masters,"Santiago Castro & Rubén Campos",athleteprofile-1788203498564-y5cr57|athleteprofile-1788203498564-7d2k34,0,100%_bots
2026,tournament-2026-ams-sil-w24-1,Silver,"Emiliano García & Franco Suárez",athleteprofile-1788203498565-2z0utw|athleteprofile-1788203498564-p2klgr,0,100%_bots
2026,tournament-2026-mon-eli-w26-1,Elite,"Santiago Navarro & Javier Ramos",athleteprofile-1788203498563-6ah3lt|athleteprofile-1788203498563-n9cikz,0,100%_bots
2026,tournament-2026-cor-pla-w28-1,Platinum,"Santiago Castro & Rubén Campos",athleteprofile-1788203498564-y5cr57|athleteprofile-1788203498564-7d2k34,0,100%_bots
2026,tournament-2026-bkk-cro-w28-2,Crown,"Santiago Navarro & Javier Ramos",athleteprofile-1788203498563-6ah3lt|athleteprofile-1788203498563-n9cikz,0,100%_bots
2026,tournament-2026-seo-gol-w30-1,Gold,"Santiago Navarro & Javier Ramos",athleteprofile-1788203498563-6ah3lt|athleteprofile-1788203498563-n9cikz,0,100%_bots
2026,tournament-2026-mum-mas-w32-1,Masters,"Santiago Castro & Rubén Campos",athleteprofile-1788203498564-y5cr57|athleteprofile-1788203498564-7d2k34,0,100%_bots
2026,tournament-2026-pra-sil-w34-1,Silver,"Santiago Navarro & Javier Ramos",athleteprofile-1788203498563-6ah3lt|athleteprofile-1788203498563-n9cikz,0,100%_bots
2026,tournament-2026-sha-eli-w34-2,Elite,"Santiago Navarro & Javier Ramos",athleteprofile-1788203498563-6ah3lt|athleteprofile-1788203498563-n9cikz,0,100%_bots
2026,tournament-2026-cph-pla-w36-1,Platinum,"Adrián Torres & Javier Herrera",athleteprofile-1788203498564-vxfgrz|athleteprofile-1788203498564-3kkm1a,0,100%_bots
2026,tournament-2026-seo-gol-w38-1,Gold,"Diego Ortiz & Rafael López",athleteprofile-1788203498564-pbwuk4|athleteprofile-1788203498563-puzsfm,0,100%_bots
2026,tournament-2026-doh-mas-w38-2,Masters,"Santiago Navarro & Javier Ramos",athleteprofile-1788203498563-6ah3lt|athleteprofile-1788203498563-n9cikz,0,100%_bots
2026,tournament-2026-vie-cro-w40-1,Crown,"Santiago Navarro & Javier Ramos",athleteprofile-1788203498563-6ah3lt|athleteprofile-1788203498563-n9cikz,0,100%_bots
2026,tournament-2026-sin-sil-w42-1,Silver,"Santiago Castro & Rubén Campos",athleteprofile-1788203498564-y5cr57|athleteprofile-1788203498564-7d2k34,0,100%_bots
2026,tournament-2026-mel-eli-w44-1,Elite,"Santiago Castro & Rubén Campos",athleteprofile-1788203498564-y5cr57|athleteprofile-1788203498564-7d2k34,0,100%_bots
2026,tournament-2026-sto-gol-w46-1,Gold,"Santiago Navarro & Javier Ramos",athleteprofile-1788203498563-6ah3lt|athleteprofile-1788203498563-n9cikz,0,100%_bots
2026,tournament-2026-lon-pla-w46-2,Platinum,"Emiliano García & Franco Suárez",athleteprofile-1788203498565-2z0utw|athleteprofile-1788203498564-p2klgr,0,100%_bots
2026,tournament-2026-lax-mas-w48-1,Masters,"Pablo Ramos & Santiago Silva",athleteprofile-1788203498564-4lfrpx|athleteprofile-1788203498564-0gz1wt,0,100%_bots
2026,tournament-2026-mil-sil-w50-1,Silver,"Santiago Navarro & Javier Ramos",athleteprofile-1788203498563-6ah3lt|athleteprofile-1788203498563-n9cikz,0,100%_bots
